LandContour,GarageYrBlt,FullBath,BsmtFinSF1,TotRmsAbvGrd,ExterQual,OpenPorchSF,Heating,Condition2,OverallQual,GarageCars,KitchenQual,KitchenAbvGr,2ndFlrSF,CentralAir,BsmtQual,TotalBsmtSF,Fireplaces,SalePrice
1,2003.0,2,706,8,2,61,2,3,7,2,2,1,854,2,2,856,0,208500
1,1976.0,2,978,6,3,0,2,3,6,2,3,1,0,2,2,1262,1,181500
1,2001.0,2,486,6,2,42,2,3,7,2,2,1,866,2,2,920,1,223500
1,1998.0,1,216,7,3,35,2,3,7,3,2,1,756,2,3,756,1,140000
1,2000.0,2,655,9,2,84,2,3,8,3,2,1,1053,2,2,1145,1,250000
1,1993.0,1,732,5,3,30,2,3,5,2,3,1,566,2,2,796,0,143000
1,2004.0,2,1369,7,2,57,2,3,8,2,2,1,0,2,1,1686,1,307000
1,1973.0,2,859,7,3,204,2,3,7,2,3,1,983,2,2,1107,2,200000
1,1931.0,2,0,8,3,0,2,3,7,2,3,2,752,2,3,952,2,129900
1,1939.0,1,851,5,3,4,2,1,5,1,3,2,0,2,3,991,2,118000
1,1965.0,1,906,5,3,0,2,3,5,1,3,1,0,2,3,1040,0,129500
1,2005.0,3,998,11,1,21,2,3,9,3,1,1,1142,2,1,1175,2,345000
1,1962.0,1,737,4,3,0,2,3,5,1,3,1,0,2,3,912,0,144000
1,2006.0,2,0,7,2,33,2,3,7,3,2,1,0,2,2,1494,1,279500
1,1960.0,1,733,5,3,213,2,3,6,1,3,1,0,2,3,1253,1,157000
1,1991.0,1,0,5,3,112,2,3,7,2,3,1,0,2,3,832,0,132000
1,1970.0,1,578,5,3,0,2,3,6,2,3,1,0,2,3,1004,1,149000
1,1967.0,2,0,6,3,0,2,3,4,2,3,2,0,2,3,0,0,90000
1,2004.0,1,646,6,3,102,2,3,5,2,2,1,0,2,3,1114,0,159000
1,1958.0,1,504,6,3,0,2,3,5,1,3,1,0,2,3,1029,0,139000
1,2005.0,3,0,9,2,154,2,3,8,3,2,1,1218,2,1,1158,1,325300
2,1930.0,1,0,6,3,0,2,3,7,1,2,1,0,2,3,637,1,139400
1,2002.0,2,0,7,2,159,2,3,8,2,2,1,0,2,2,1777,1,230000
1,1976.0,1,840,6,3,110,2,3,5,2,3,1,0,2,2,1040,1,129900
1,1968.0,1,188,6,3,90,2,3,5,1,2,1,0,2,3,1060,1,154000
1,2007.0,2,0,7,2,56,2,3,8,3,2,1,0,2,2,1566,1,256300
1,2005.0,1,234,5,3,32,2,3,5,2,2,1,0,2,3,900,0,134800
1,2008.0,2,1218,7,2,50,2,3,8,3,2,1,0,2,1,1704,1,306000
1,1957.0,1,1277,6,3,258,2,3,5,1,3,1,0,2,3,1484,2,207500
1,1920.0,1,0,4,3,0,2,4,4,1,4,1,0,1,3,520,0,68500
1,1920.0,1,0,6,3,54,2,3,4,1,3,1,668,1,3,649,0,40000
1,1966.0,1,0,6,3,65,2,3,5,1,2,1,0,2,3,1228,0,149350
1,2007.0,2,0,7,2,30,2,3,8,2,2,1,0,2,1,1234,0,179900
1,1959.0,1,1018,6,3,38,2,3,5,2,2,1,0,2,3,1398,1,165500
1,2005.0,2,1153,6,1,47,2,3,9,2,1,1,0,2,1,1561,1,277500
1,2004.0,3,0,9,2,32,2,3,8,3,2,1,1320,2,1,1117,1,309000
1,1995.0,1,0,6,3,64,2,3,5,2,3,1,0,2,2,1097,0,145000
1,1954.0,1,1213,5,3,0,2,3,5,2,3,1,0,2,3,1297,1,153000
1,1953.0,1,731,5,3,52,2,3,5,1,2,1,0,2,3,1057,0,109000
1,2005.0,2,0,6,3,0,2,3,4,0,4,2,0,1,3,0,0,82000
1,1965.0,2,643,6,3,138,2,3,6,2,3,1,0,2,3,1088,1,160000
1,1959.0,1,967,5,3,104,2,3,5,1,3,1,0,2,3,1350,2,170000
1,1983.0,1,747,5,3,0,2,3,5,2,2,1,0,2,2,840,0,144000
1,1977.0,1,280,5,3,0,2,3,5,1,3,1,0,2,2,938,0,130250
1,1959.0,1,179,6,3,0,2,3,5,1,3,1,0,2,3,1150,0,141000
1,2005.0,2,456,6,1,82,2,3,9,2,1,1,0,2,1,1752,1,319900
1,2003.0,1,1351,6,2,43,2,3,7,2,2,1,631,2,1,1434,1,239686
1,2006.0,2,24,7,2,146,2,3,8,3,2,1,0,2,2,1656,0,249700
1,2005.0,2,0,8,3,0,2,3,4,0,3,3,716,2,3,736,0,113000
1,1966.0,1,763,6,3,0,2,3,5,1,3,1,0,2,3,955,0,127000
1,1997.0,2,182,6,3,75,2,3,6,2,3,1,676,2,2,794,0,177000
1,1985.0,1,0,6,3,0,2,3,6,2,3,1,0,2,3,816,1,114500
2,1963.0,1,104,5,4,0,2,3,5,2,3,1,0,1,2,816,0,110000
4,1981.0,0,1810,5,2,72,2,3,9,3,2,1,0,2,1,1842,1,385000
2,1962.0,1,384,6,3,50,2,3,5,2,3,1,0,2,3,384,1,130000
1,1964.0,2,490,7,3,0,2,3,6,2,3,1,0,2,3,1425,1,180500
1,1999.0,2,649,7,2,0,2,3,8,2,2,1,756,2,2,970,0,172500
1,2004.0,2,0,7,2,70,2,3,7,2,2,1,860,2,2,860,0,196500
3,2006.0,3,0,10,1,0,2,3,10,3,2,1,1519,2,1,1410,1,438780
2,1973.0,1,632,4,3,0,2,3,5,1,3,1,0,2,3,780,0,124900
1,2006.0,1,941,5,3,50,2,3,6,2,2,1,0,2,2,1158,0,158000
1,1935.0,1,0,6,3,0,2,3,5,1,4,1,530,1,3,530,0,101000
1,2006.0,2,24,6,2,49,2,3,8,2,2,1,0,2,2,1370,1,202500
2,1990.0,2,0,9,3,11,2,2,7,2,3,1,808,2,3,576,0,140000
1,1998.0,2,739,8,3,36,2,3,7,2,2,1,977,2,2,1057,0,219500
1,2004.0,2,0,9,2,151,2,3,8,3,2,1,1330,2,1,1143,1,317000
1,1970.0,2,912,7,3,0,2,3,7,2,3,1,0,2,2,1947,1,180000
1,2003.0,2,1013,7,2,29,2,3,7,2,2,1,0,2,2,1453,0,226000
1,1945.0,1,0,4,3,0,2,3,4,1,3,1,0,2,3,747,0,80000
1,1953.0,2,603,7,2,21,3,3,7,2,3,1,983,2,3,1304,1,225000
1,1973.0,2,1880,8,3,0,2,3,7,2,3,1,0,2,2,2223,2,244000
1,1987.0,1,565,4,3,0,2,3,4,2,3,1,0,2,3,845,0,129500
1,1998.0,2,0,7,3,94,2,3,7,2,3,1,833,2,2,832,1,185000
1,1989.0,1,320,6,3,0,2,3,5,2,3,1,0,2,3,1086,0,144900
1,1915.0,2,0,8,2,0,2,3,3,1,3,2,765,1,4,840,0,107400
1,1973.0,1,462,5,3,101,2,3,4,1,3,1,462,2,2,462,0,91000
1,1956.0,1,228,4,3,0,2,3,4,1,3,1,0,2,3,952,0,135750
1,1948.0,1,336,6,3,0,2,3,5,1,3,1,213,2,3,672,0,127000
1,2005.0,2,0,8,3,0,2,3,4,0,3,2,0,1,3,1768,0,136500
1,1966.0,1,0,5,3,0,2,3,5,2,3,1,548,2,3,440,0,110000
1,1968.0,2,448,8,3,72,2,3,6,1,2,1,960,2,2,896,1,193500
1,1998.0,2,1201,5,3,199,2,3,6,2,3,1,0,2,1,1237,0,153500
1,2007.0,2,33,6,3,99,2,3,8,3,2,1,0,2,2,1563,1,245000
1,1974.0,1,0,6,3,0,2,3,5,2,3,1,0,2,3,1065,0,126500
1,1995.0,2,0,7,3,72,2,3,7,2,3,1,670,2,2,384,1,168500
1,1991.0,2,0,9,2,82,2,3,8,2,2,1,1116,2,2,1288,1,260000
1,2005.0,2,0,6,2,38,2,3,6,2,2,1,876,2,2,684,1,174000
1,2009.0,2,0,4,2,234,2,3,6,2,2,1,612,2,2,612,0,164500
1,2005.0,1,0,6,4,0,2,2,3,0,4,1,0,1,3,1013,0,85000
1,2005.0,1,588,5,3,0,2,3,4,0,3,1,0,2,2,990,0,123600
1,1950.0,1,0,4,3,29,2,3,4,2,3,1,0,2,3,0,0,109900
1,1961.0,1,600,6,3,0,2,3,5,2,3,1,0,2,3,1235,0,98600
3,1921.0,1,713,5,3,0,2,3,5,2,3,1,0,2,2,876,0,163500
1,1900.0,2,1046,9,3,0,3,3,6,2,3,2,1031,1,3,1214,1,133900
1,1997.0,2,648,7,3,162,2,3,6,2,2,1,881,2,2,824,0,204750
1,1993.0,2,310,6,1,63,2,3,6,2,3,1,790,2,2,680,1,185000
1,1999.0,2,1162,6,2,29,2,3,7,2,2,1,0,2,2,1588,0,214000
3,1965.0,1,520,6,3,0,2,3,4,1,3,1,0,2,3,960,0,94750
1,1920.0,1,108,5,3,0,2,3,5,1,3,1,0,1,3,458,0,83000
1,2005.0,1,569,6,3,0,2,3,4,0,3,1,0,2,3,950,0,128950
1,1977.0,2,1200,6,3,68,2,3,6,2,2,1,0,2,3,1610,2,205000
1,1985.0,2,0,7,2,46,2,3,6,2,2,1,755,2,2,741,1,178000
2,1979.0,2,0,8,3,0,2,3,5,2,3,2,0,2,3,0,0,118964
1,2009.0,2,0,6,3,36,2,3,7,3,2,1,0,2,2,1226,0,198900
1,1951.0,1,224,7,3,0,2,3,7,1,3,1,592,2,3,1040,2,169500
1,2003.0,2,0,9,2,45,2,3,8,2,2,1,939,2,1,1053,1,250000
1,1954.0,1,0,6,3,0,2,3,4,1,3,1,0,2,4,641,0,100000
1,1948.0,1,104,5,3,0,2,3,5,1,3,1,0,2,3,789,0,115000
1,2005.0,2,0,7,3,0,3,3,5,0,4,1,520,1,3,793,0,115000
1,1977.0,2,705,7,3,122,2,3,6,2,3,1,0,2,2,1844,1,190000
1,1954.0,2,444,7,3,0,2,3,6,1,3,1,639,2,3,994,0,136900
1,2000.0,2,250,7,3,0,2,3,7,2,3,1,656,2,2,384,1,180000
1,2007.0,2,984,10,2,184,2,3,7,3,1,1,1414,2,1,1264,1,383970
2,1953.0,2,35,7,3,120,2,3,6,2,2,1,0,2,2,1809,2,217000
1,1945.0,2,774,9,3,0,2,3,6,1,2,1,884,2,3,1028,1,259500
1,1999.0,2,419,5,3,32,2,3,6,2,3,1,729,2,2,729,1,176000
1,1962.0,1,170,6,3,20,2,3,5,1,3,1,0,2,3,1092,1,139000
1,2007.0,1,0,5,3,64,2,3,5,2,3,1,0,2,2,1125,0,155000
1,1990.0,3,1470,11,3,0,2,3,7,3,2,1,1523,2,2,1673,2,320000
1,2005.0,2,0,8,2,24,2,3,6,2,2,1,728,2,2,728,1,163990
4,1969.0,1,938,4,3,130,2,3,6,2,3,1,0,2,3,938,2,180000
1,1979.0,1,0,4,3,0,2,3,4,1,3,1,351,2,3,732,0,100000
1,1958.0,1,570,5,3,0,2,3,6,1,3,1,0,2,3,1080,0,136000
1,1993.0,2,300,5,2,63,2,3,6,2,2,1,0,2,2,1199,0,153900
1,1979.0,2,0,7,3,0,2,3,6,2,3,1,0,2,2,1362,1,181000
1,2005.0,1,490,5,3,0,2,3,6,0,3,1,0,1,3,520,0,84500
1,1977.0,2,120,5,3,205,2,3,6,2,3,1,0,2,2,1078,1,128000
2,2005.0,1,116,5,3,0,2,3,5,0,3,1,0,2,3,672,1,87000
1,1966.0,1,512,6,3,108,2,3,6,2,3,1,688,2,3,660,1,155000
1,1998.0,1,567,6,3,80,2,3,5,2,1,1,0,2,3,1008,0,150000
1,1966.0,2,445,8,3,66,2,3,7,2,2,1,941,2,3,924,2,226000
1,2000.0,2,695,7,2,48,2,3,6,2,2,1,1032,2,2,992,1,244000
1,1974.0,1,405,7,3,0,2,3,5,2,2,1,0,2,3,1063,0,150750
1,2001.0,2,1005,6,2,25,2,3,8,2,2,1,0,2,1,1267,0,220000
1,1968.0,2,570,7,3,96,2,3,5,2,3,1,0,2,3,1461,1,180000
1,1970.0,2,0,7,3,0,2,3,7,2,3,1,0,2,3,1304,1,174000
1,1967.0,2,695,5,3,111,2,3,5,1,3,1,0,2,3,1214,1,143000
1,1989.0,3,0,9,3,0,2,3,7,3,3,2,0,2,3,1907,0,171000
1,1999.0,2,668,7,2,106,2,3,8,3,2,1,848,2,2,1004,2,230000
1,1997.0,2,821,7,3,99,2,3,6,2,2,1,836,2,2,928,0,231500
1,2005.0,1,432,5,3,0,2,3,4,0,3,1,0,2,3,864,1,115000
1,2005.0,2,1300,7,2,24,2,3,7,2,2,1,0,2,2,1734,0,260000
1,2000.0,2,507,6,3,0,2,3,5,2,3,1,475,2,3,910,0,166000
1,1999.0,2,679,6,2,29,2,3,7,2,2,1,0,2,2,1490,0,204000
1,1963.0,2,1332,10,3,0,2,3,5,2,3,2,0,2,3,1728,0,125000
1,2004.0,2,0,7,2,40,2,3,6,2,2,1,739,2,2,970,0,130000
1,1931.0,1,209,5,3,0,2,3,5,1,3,1,0,2,3,715,0,105000
1,2001.0,2,0,8,2,48,2,3,7,2,2,1,1151,2,2,884,1,222500
1,2005.0,1,680,6,3,0,2,3,7,0,2,1,0,2,2,1080,0,141000
1,1936.0,1,0,7,3,114,2,3,5,1,3,1,448,2,2,896,0,115000
1,1975.0,1,716,5,3,0,2,3,5,2,3,1,0,2,3,969,0,122000
1,2007.0,2,1400,6,2,102,2,3,8,3,2,1,0,2,1,1710,1,372402
1,1971.0,2,416,8,3,66,2,3,6,2,3,1,896,2,3,825,1,190000
1,1960.0,1,429,4,3,0,2,3,6,2,3,1,0,2,2,1602,1,235000
1,1923.0,1,0,7,3,0,2,3,6,1,3,1,0,2,3,1200,0,125000
1,2005.0,1,0,5,3,8,4,3,6,0,3,1,524,1,3,572,0,79000
1,1950.0,1,0,5,3,0,2,3,5,2,3,1,0,2,3,0,0,109500
1,2009.0,2,0,8,2,75,2,3,8,3,1,1,1194,2,1,774,1,269500
1,2004.0,2,222,8,2,136,2,3,7,2,2,1,956,2,2,991,1,254900
3,2006.0,2,57,9,2,132,2,3,7,2,2,1,1070,2,2,1392,1,320000
1,1984.0,2,660,6,3,0,2,3,6,2,3,1,0,2,2,1232,0,162500
1,2003.0,2,1016,10,2,0,2,3,9,3,1,1,1096,2,1,1572,2,412500
1,2005.0,2,1201,7,2,70,2,3,7,2,2,1,0,2,2,1541,1,220000
1,2005.0,1,0,4,3,0,2,3,4,0,3,1,0,2,3,882,0,103200
1,1926.0,2,370,5,3,0,2,3,6,1,2,1,467,2,3,1149,0,152000
1,2005.0,2,351,6,3,0,2,3,5,0,3,2,547,2,3,644,0,127500
1,1955.0,1,379,7,2,0,2,3,5,1,3,1,0,2,3,1617,3,190000
1,2007.0,1,1288,8,2,120,2,3,8,3,1,1,551,2,1,1582,1,325624
1,2004.0,2,0,7,2,48,2,3,7,2,2,1,880,2,2,840,1,183500
1,1981.0,2,0,6,2,64,2,3,8,2,3,1,0,2,2,1686,1,228000
1,1991.0,1,360,7,3,0,2,3,5,2,3,1,0,2,3,720,0,128500
1,1960.0,1,639,7,3,62,2,3,6,2,3,1,0,2,3,1080,2,215000
1,1987.0,2,495,5,2,35,2,3,7,2,2,1,703,2,2,1064,1,239000
1,1961.0,1,288,6,3,20,2,3,6,2,3,1,0,2,3,1362,1,163000
1,1986.0,2,1398,7,3,0,2,3,6,2,3,1,0,2,2,1606,1,184000
1,1950.0,2,477,7,3,29,2,3,6,2,2,1,0,2,3,1202,1,243000
1,1988.0,2,831,8,2,228,2,3,6,2,3,1,896,2,2,1151,1,211000
1,1958.0,2,57,8,2,0,2,3,5,2,2,1,668,2,3,1052,1,172500
1,2009.0,2,1904,9,1,60,2,3,9,3,1,1,0,2,1,2216,1,501837
1,1935.0,1,0,5,2,0,2,3,5,2,3,1,0,2,3,968,0,100000
1,2000.0,2,436,5,2,0,2,3,6,2,2,1,756,2,2,756,1,177000
1,1920.0,1,352,9,3,0,2,3,7,1,3,1,901,2,4,793,1,200100
1,1957.0,1,0,7,3,0,2,3,5,1,3,1,0,2,3,0,1,120000
1,2003.0,2,0,6,3,238,2,3,7,2,2,1,720,2,2,1362,0,200000
1,1986.0,1,0,5,3,0,2,2,5,2,3,1,316,2,4,504,0,127000
1,1993.0,2,0,12,2,260,2,3,10,3,1,1,1518,2,3,1107,2,475000
1,1990.0,2,611,6,3,27,2,3,7,2,2,1,0,2,2,1188,0,173000
1,1916.0,2,0,8,3,0,2,3,5,1,3,1,704,2,4,660,0,135000
2,1979.0,0,1086,6,3,0,2,3,5,2,3,2,0,2,2,1086,2,153337
1,2001.0,1,1153,5,2,120,2,3,8,2,1,1,0,2,1,1593,1,286000
2,1932.0,2,297,10,2,74,2,3,8,2,2,1,1178,2,2,853,2,315000
1,1972.0,1,626,7,3,32,2,3,7,2,2,1,754,2,3,725,0,184000
1,1999.0,2,560,6,2,35,2,3,7,2,2,1,0,2,2,1431,0,192000
1,2004.0,2,0,7,2,40,2,3,7,2,2,1,739,2,2,970,0,130000
1,1989.0,1,390,5,3,0,2,3,5,1,3,1,0,2,3,864,0,127000
1,1976.0,2,566,7,3,0,2,3,6,2,3,1,601,2,2,855,1,148500
1,2007.0,2,1126,8,1,138,2,3,7,3,1,1,0,2,1,1726,1,311872
1,1918.0,2,1036,8,2,16,2,3,8,2,2,1,1360,2,3,1360,1,235000
1,2005.0,1,0,8,3,198,2,3,6,0,3,1,929,2,3,755,0,104000
1,2004.0,2,1088,7,2,26,2,3,8,3,1,1,0,2,1,1713,1,274900
1,2003.0,2,0,5,3,64,2,3,4,2,3,1,0,2,2,1121,0,140000
1,1980.0,2,641,6,3,83,2,3,6,2,3,1,0,2,3,1196,2,171500
1,1924.0,2,617,6,3,0,2,3,6,1,3,1,445,2,4,617,0,112000
1,2004.0,1,662,3,2,0,2,3,6,2,2,1,0,2,2,848,1,149000
1,1948.0,1,312,5,3,35,2,3,5,1,3,1,564,2,3,720,0,110000
1,1990.0,2,0,5,3,34,2,3,7,2,3,1,0,2,2,1424,0,180500
1,1962.0,1,0,8,3,30,2,3,5,1,3,1,0,2,3,1140,1,143900
1,1960.0,1,419,6,3,0,2,3,4,1,3,1,0,2,3,1100,1,141000
4,1988.0,2,1065,7,2,55,2,3,7,2,3,1,882,2,2,1157,1,277000
1,1964.0,1,787,6,3,0,2,3,6,2,3,1,0,2,2,1092,0,145000
1,2005.0,1,468,5,3,0,2,3,5,0,3,1,0,1,3,864,0,98000
1,2009.0,2,36,6,3,22,2,3,6,2,2,1,0,2,2,1212,0,186000
1,2009.0,2,822,7,3,108,2,3,7,2,2,1,920,2,2,900,1,252678
1,1996.0,1,716,5,3,0,2,3,5,2,3,1,0,2,2,990,0,156000
1,1977.0,1,378,6,3,36,2,3,6,1,3,1,703,2,2,689,0,161750
1,1957.0,1,360,6,3,0,2,3,5,1,2,1,0,2,3,1070,1,134450
1,2004.0,2,946,8,2,98,2,3,7,2,2,1,0,2,2,1436,0,210000
1,1940.0,1,0,8,3,172,2,3,4,1,3,1,518,1,3,686,0,107000
1,1939.0,1,341,8,2,119,2,3,7,2,2,1,817,2,3,798,2,311500
1,2005.0,2,16,5,2,0,2,3,7,2,2,1,0,2,2,1248,0,167240
1,2006.0,2,0,5,2,33,2,3,7,2,2,1,0,2,2,1498,0,204900
1,2002.0,2,0,8,2,46,2,3,6,2,2,1,1257,2,2,1010,1,200000
1,1975.0,2,550,6,3,208,2,3,6,2,3,1,741,2,2,713,1,179900
1,1989.0,1,524,4,3,0,2,3,4,2,3,1,0,2,3,864,0,97000
1,2003.0,2,56,8,1,105,2,3,10,3,1,1,0,2,1,2392,1,386250
1,1991.0,2,0,6,3,0,2,3,5,1,3,1,672,2,3,630,0,112000
1,1995.0,2,565,9,2,114,2,3,7,3,2,1,1306,2,2,1203,1,290000
1,1987.0,1,321,5,3,0,2,3,6,1,3,1,504,2,3,483,0,106000
1,1974.0,1,842,5,3,0,2,3,5,1,3,1,0,2,3,912,1,125000
1,2005.0,2,16,7,2,20,2,3,7,2,2,1,0,2,2,1373,1,192500
1,1959.0,1,0,6,3,0,2,3,6,1,3,1,0,2,3,1194,0,148000
1,1995.0,2,689,9,2,146,2,3,8,3,1,1,1304,2,2,1462,1,403000
1,1972.0,1,0,5,3,0,2,3,6,1,3,1,504,2,3,483,1,94500
1,1976.0,1,182,5,3,0,2,3,5,1,3,1,0,2,3,894,0,128200
1,2002.0,2,625,8,2,48,2,3,6,2,2,1,1100,2,2,860,2,216500
1,1971.0,1,358,5,3,0,2,3,6,1,3,1,504,2,3,483,0,89500
1,2004.0,2,24,6,2,105,2,3,7,2,2,1,0,2,2,1414,0,185500
1,1993.0,2,402,7,2,70,2,3,7,2,2,1,730,2,2,996,0,194500
1,2007.0,2,0,7,1,228,2,3,8,3,2,1,0,2,1,1694,0,318000
1,1949.0,1,94,7,3,140,2,3,6,1,3,1,689,2,3,735,1,113000
1,2008.0,2,1078,7,2,168,2,3,8,2,2,1,0,2,2,1566,0,262500
1,2005.0,1,329,4,3,42,2,3,5,0,2,1,0,2,3,686,0,110500
1,1940.0,1,0,6,3,0,2,3,5,1,3,1,551,1,3,540,0,79000
1,1980.0,1,0,6,3,28,2,3,6,1,3,1,591,2,2,626,1,120000
1,1994.0,2,695,8,2,130,2,3,7,2,2,1,888,2,2,948,2,205000
1,1988.0,2,929,6,3,39,2,3,7,2,3,1,0,2,2,1845,1,241500
1,1910.0,2,0,9,3,60,2,3,6,1,4,2,1020,1,4,1020,0,137000
1,1954.0,1,0,5,3,30,2,3,6,2,3,1,0,2,3,1367,1,140000
1,2003.0,2,0,8,2,68,2,3,7,2,2,1,828,2,2,840,0,180000
4,1958.0,2,697,7,2,98,2,3,6,2,2,1,700,2,2,1444,2,277000
1,2005.0,1,0,6,3,0,2,3,3,0,4,1,0,2,3,728,0,76500
3,2006.0,2,1573,5,2,0,2,3,8,2,2,1,0,2,2,1573,1,235000
1,2004.0,2,0,6,2,45,2,3,6,2,2,1,842,2,2,798,0,173000
1,1964.0,2,270,7,3,0,2,3,6,1,2,1,0,2,2,1302,0,158000
1,1957.0,1,922,5,3,0,2,3,5,1,3,1,0,2,3,1314,0,145000
1,1999.0,2,0,8,2,0,2,3,7,2,2,1,1286,2,2,975,1,230000
1,2003.0,2,503,7,2,56,2,3,6,2,2,1,864,2,2,864,0,207500
1,2006.0,2,1334,8,2,110,2,3,7,2,2,1,0,2,2,1604,1,220000
1,2001.0,2,361,7,2,96,2,3,7,2,2,1,829,2,2,963,1,231500
1,1956.0,1,0,4,3,45,2,3,5,1,3,1,0,2,3,0,0,97000
1,1991.0,1,672,6,3,0,2,3,6,2,3,1,0,2,3,1362,1,176000
1,2007.0,2,0,10,2,148,2,3,8,3,1,1,1092,2,1,1482,1,276000
1,1978.0,1,506,6,3,12,2,3,6,2,3,1,0,2,2,506,1,151000
1,1974.0,1,234,6,3,0,2,3,5,2,3,1,0,2,3,926,0,130000
2,1965.0,1,0,4,3,0,2,3,5,2,3,1,0,1,4,680,0,73000
1,1981.0,2,588,7,3,0,2,3,6,2,2,1,0,2,2,1422,1,175500
3,1997.0,2,714,8,3,75,2,3,6,2,3,1,709,2,2,802,1,185000
2,1939.0,2,378,8,3,24,2,3,5,1,2,1,720,2,3,720,1,179500
1,1966.0,1,403,4,3,25,2,3,5,1,3,1,0,2,3,740,1,120500
1,1987.0,1,751,6,3,30,2,3,6,1,3,1,0,2,3,1143,1,148000
1,2006.0,2,0,8,2,51,2,3,8,3,2,1,844,2,2,1095,1,266000
4,1954.0,1,226,5,3,0,2,3,7,2,3,1,0,2,2,1385,2,241500
1,1999.0,2,524,9,2,57,2,3,8,3,2,1,1106,2,2,1152,1,290000
1,1958.0,2,620,6,3,0,2,3,6,1,3,1,0,2,3,1240,1,139000
1,1982.0,1,546,5,3,0,2,3,5,1,3,1,0,2,3,816,0,124500
1,1978.0,2,0,5,2,0,3,3,7,2,1,1,596,1,3,952,0,205000
1,2003.0,2,0,7,2,150,2,3,7,2,2,1,0,2,1,1560,0,201000
1,1951.0,1,120,4,3,0,2,3,4,2,3,1,0,2,3,864,0,141000
1,2007.0,2,0,8,1,98,2,3,9,3,1,1,0,2,1,2121,1,415298
1,1977.0,2,392,8,3,117,2,3,7,2,3,1,866,2,2,1160,1,192000
1,1989.0,2,421,7,2,84,2,3,7,2,2,1,807,2,2,807,1,228500
1,2006.0,2,905,5,2,120,2,3,6,2,2,1,0,2,2,1262,0,185000
1,2008.0,2,904,6,2,62,2,3,7,2,2,1,0,2,2,1314,1,207500
1,2008.0,2,0,6,2,150,2,3,8,3,2,1,0,2,2,1468,1,244600
1,1992.0,2,430,5,2,0,2,3,6,2,2,1,0,2,2,1575,0,179200
1,2006.0,2,0,5,2,54,2,3,7,2,2,1,625,2,2,625,0,164700
2,1962.0,1,600,7,3,0,2,3,6,2,2,1,649,2,3,912,1,159000
1,2005.0,1,614,5,3,0,2,3,4,0,3,1,0,2,3,858,0,88000
